ChemicalName,Rating
Gentianalutea(Gentian)rootextract,Best
geraniol,Average
geraniumextract,Best
geraniumoil,Poor
Geraniumpretense,Poor
GermabenII,Good
gingerextract,Good
gingeroil,Poor
Ginkgobilobaleafextract,Best
ginseng,Best
GLA,Best
glabridin,Best
gluconolactone,Best
glucosamineHCL,Best
glucose,Good
glucoseoxidase,Good
glucosylhesperidin,Best
glutamicacid,Good
glutamine,Best
glutathione,Best
gluteningredients,Good
glycereth-26,Good
glycereth-26phosphate,Good
glycereth-6laurate,Good
glycerin,Best
glycerine,Best
glycerol,Best
glycerolmonostearate,Good
glyceroltriacetate,Good
glyceroltrioleate,Good
glycerylascorbate,Best
glycerylbehanate,Good
glycerylbehenate,Best
glycerylbehenate/eicosadioate,Good
glycerylcocoate,Good
glyceryldibehanate,Good
glyceryldipalmitate,Good
glyceryldistearate,Good
glycerylester,Good
glycerylisopalmitate,Good
glycerylisostearate,Good
glycerylmyristate,Good
glyceryloleate,Good
glycerylpalmitate,Good
glycerylpolymethacrylate,Good
glycerylrosinate,Good
glycerylstearate,Good
glycerylstearateSE,Good
glycine,Good
Glycinesojaoil,Best
Glycinesojaseedextract,Best
Glycinesojasterols,Best
glycogen,Good
glycolicacid,Best
glycolipid,Best
glycolstearate,Good
glycoproteins,Best
glycosaminoglycans,Best
glycosphingolipid,Best
glycyrrheticacid,Best
glycyrrhetinicacid,Best
Glycyrrhizaglabra,Best
Glycyrrhizauralensisrootextract,Best
gojifruitextract,Good
gold,Poor
Gossypiumherbacuemseedoil,Good
gotukola,Best
grapefruitoil,Poor
grapefruitpeelextract,Poor
grapefruitseedextract,Poor
grapeseedextract,Best
grapeseedoil,Best
greentea,Best
gromwell,Best
guarana,Poor
guargum,Good
guarhydroxypropyltrimoniumchloride,Good
guava,Best
gums,Good
Haematococcuspluvialisextract,Best
Hamamelisvirginiana,Poor
hamamelitannin,Poor
Hasleaostreariaextract,Good
hayflowerextract,Poor
hazelnutoil,Good
hectorite,Good
Hederahelix,Poor
hedione,Poor
Helianthusannuusseedoil,Best
Helianthusoil,Best
hempseedoil,Good
hesperidin,Best
hesperidinmethylchalcone,Good
hexanoyldipeptide-3norleucineacetate,Best
hexylcinnamal,Poor
hexyldecanol,Good
hexyleneglycol,Good
hexyllaurate,Good
hexylresorcinol,Average
hibiscus,Good
Himanthaliaelongateextract,Good
Hippophaerhamnoides,Good
histidine,Good
hoelen,Best
homosalate,Best
honey,Best
honeyextract,Best
honeysuckleflowerextract,Best
hops,Average
Hordeumvulgareextract,Average
horsechestnutextract,Good
horseelder,Poor
horseradish,Poor
horsetailextract,Average
Hortoniafloribundaleafextract,Average
Huangqi,Good
Humuluslupulusextract,Average
hyaluronicacid,Best
Hydnocarpusanthelmintica,Poor
Hydrastiscanadenis,Poor
hydrocotylextract,Best
hydrogenatedcoco-glyceride,Good
hydrogenateddidecene,Good
hydrogenatedlecithin,Best
hydrogenatedoliveoil,Best
hydrogenatedpalmglycerides,Good
hydrogenatedpolydecene,Good
hydrogenatedpolyisobutene,Good
hydrogenatedsoybeanoil,Best
hydrogenatedstarchhydrolysate,Good
hydrogenatedvegetableglyceridescitrate,Good
hydrogenperoxide,Poor
hydrolyzedacaciamacrostachyaseedextract,Good
hydrolyzedalgaeextract,Good
hydrolyzedcornstarch,Good
hydrolyzederucasativa(arugula)leaf,Best
hydrolyzedglycosaminoglycans,Best
hydrolyzedjojobaesters,Best
hydrolyzedjojobaprotein,Good
hydrolyzedpumpkinseedcake,Best
hydrolyzedsilk,Good
hydrolyzedsoyprotein,Best
hydrolyzedvegetableprotein,Good
hydrolyzedwheatprotein,Good
hydroquinone,Best
hydroxyethylacrylate/sodiumacryloyldimethyltauratecopolymer,Good
hydroxyethylcellulose,Good
hydroxyethylpiperazineethanesulfonicacid,Poor
hydroxyethylurea,Good
hydroxylatedlecithin,Best
hydroxypropylcyclodextrin,Good
hydroxypropylguar,Good
hydroxypropylstarchphosphate,Good
Hypericumextract,Good
hyssop,Average
idebenone,Best
Ilexparaguariensis,Best
Illiciumvernum,Poor
imidazolidinylurea,Average
inactiveingredient,Good
inositol,Best
Inulahelenium,Poor
iodopropynylbutylcarbamate,Good
Irisflorentinaextract,Poor
Irishmossextract,Good
ironoxides,Good
ironpowder,Average
isoamylcocoate,Good
isoamyllaurate,Good
isobutylacetate,Good
isobutylparaben,Good
isocetylsalicylate,Average
isododecane,Good
isoflavone,Best
isohexadecane,Good
isoleucine,Good
isononylisononanoate,Good
isoparaffin,Good
isopropylalcohol,Poor
isopropylisostearate,Good
isopropyllanolate,Good
isopropylmyristate,Good
isopropylpalmitate,Good
isopropyltitaniumtriisostearate,Good
isopropyltitaniumtriisostearte/triethoxycaprylylsilanecrosspolymer,Good
isostearamideDEA,Good
isostearicacid,Good
ivyextract,Poor
Japanwax,Good
jasmineoil,Poor
Jasminiumgrandiflorum,Poor
jojobabutter,Best
jojobaesters,Best
jojobaoil,Best
jojobawax,Best
jonquilextract,Poor
Juhua,Good
jujubefruitextract,Good
juniperberry,Poor
Juniperuscommunis,Poor
kaolin,Good
KathonCG,Poor
kava-kavaextract,Poor
kawaextract,Poor
kelpextract,Good
Kigeliaafricanaextract,Average
kiwifruitextract,Best
kojicacid,Good
kojicdipalmitate,Good
kolanut,Average
kudzuroot,Best
kukuinutoil,Best
lacticacid,Best
lactobionate,Good
lactobionicacid,Best
lactoperoxidase,Best
lady'smantleextract,Poor
lady'sthistle(milkthistle)extract,Best
Lagerstroemiaindicaextract,Average
Laminariadigitata,Good
Laminarialongicruris,Good
Laminariaochroleucaextract,Good
Laminariasacharrina,Good
Lamiumalbumflowerextract,Best
lanolin,Good
lanolinalcohol,Good
lappaextract,Good
Larreadivaricataextract,Good
Larreatridentata,Good
L-ascorbicacid,Best
lauramphocarboxyglycinate,Good
laurdimoniumhydroxypropylhydrolyzedsoyprotein,Good
laurdimoniumhydroxypropylhydrolyzedwheatprotein,Good
laureth-23,Good
laureth-4,Good
laureth-7,Good
laureths,Good
lauricacid,Best
lauroyllysine,Good
Laurusnobilis,Poor
laurylalcohol,Good
laurylglucoside,Good
lauryllactate,Good
lauryllaurate,Best
laurylPEG-9polydimethylsiloxyethyldimethicone,Good
lavandinoil,Poor
Lavandulaangustifolia,Poor
Lavandulaofficinalis,Poor
lavenderextractandoil,Poor
L-cysteine,Good
lecithin,Best
lemon,Poor
lemonbalm,Poor
lemongrassextract,Poor
lemongrassoil,Poor
lemonjuice,Poor
lemonoil,Poor
lentilfruitextract,Good
Lentinusedodesextract,Average
Leontopodiumalpinumextract,Best
Leptospermumscopariumoil,Good
leucine,Good
leuconostoc/radishrootfermentfiltrate,Good
Levisticumofficinalerootextract,Poor
licoriceextract,Best
licoriceroot,Best
Liliumcandidumbulbextract,Average
limeoilandextract,Poor
Limnanthesalba,Good
Limnanthesalbaseedoil,Good
limonene,Poor
linalool,Poor
lindenflowerextract,Best
linoleicacid,Best
linolenicacid,Best
linseedoil,Best
Linumusitatissimumextract,Best
lipid,Best
liposomes,Good
lithiummagnesiumsodiumsilicate,Good
Lithospermumerythrorhizon,Best
Litseacubeba,Poor
locustbean,Good
Loniceracaprifoliumflowerextract,Best
Lonicerajaponica,Best
Lonicerajaponicaflowerextract,Best
loquatextract,Best
lotusseedextract,Best
lovagerootextract,Poor
lupine,Good
lupineoil,Average
Lupinusalbusextract,Good
lutein,Best
Lyciumbarbarumfruitextract,Good
lycopene,Best
lye,Poor
lysine,Good
lysineHCI,Best
macadamianutoil,Good
madecassoside,Best
magnesium,Good
magnesiumaluminumsilicate,Good
magnesiumascorbylpalmitate,Good
magnesiumascorbylphosphate,Best
magnesiumaspartate,Good
magnesiumcarbonate,Good
magnesiumhydroxide,Good
magnesiumlaurethsulfate,Good
magnesiumolethsulfate,Good
magnesiumstearate,Good
magnesiumsulfate,Good
Mahoniaaquifoliumrootextract,Good
malicacid,Best
mallow,Best
maltodextrin,Good
maltooligosylglucoside,Good
malvaceaeextract,Average
Malvasylvestrisextract,Good
mandarinorangeoilorextract,Poor
mandelicacid,Good
manganesegluconate,Average
manganeseviolet,Good
Mangiferaindica(mango)seedbutter,Best
Mangiferaindicaroot,Good
manukaoil,Good
marigold,Good
marionberry,Good
marjoram,Poor
marshmallow,Best
Mastocarpusstellatus,Good
mateextract,Best
matricariaoil,Best
MEA,Average
meadowfoamseedoil,Good
meadowsweetextract,Best
Medicagosativa,Best
Melaleucaalternifolia,Good
Melaleucacajeputioil,Poor
Meliaazadirachtaextract,Best
Meliaazadirachtaleafextract,Best
Meliaazadirachtaoil,Poor
melibiose,Good
Melissaofficinalis,Poor
Menthaarvensis,Poor
Menthapiperita,Poor
Menthaspicata,Poor
Menthaviridis,Poor
menthol,Poor
menthone,Poor
menthoxypropanediol,Poor
menthylanthranilate,Best
menthyllactate,Poor
meradmiate,Best
methanol,Poor
methicone,Good
methionine,Good
methylchloroisothiazolinone,Poor
methyldibromoglutaronitrile,Poor
methyldihydrojasmonate,Poor
methylgluceth-20,Good
methylgluceth-20benzoate,Good
methylglucosesesquistearate,Good
methylglucosidephosphate,Good
methylisothiazolinone,Poor
methylparaben,Good
methylpropanediol,Good
methylsilanolmannuronate,Good
methylsilanolPEG-7glycerylcocoate,Good
methylsufonylsulfate,Good
methyltrimethicone,Good
MexorylSX,Best
mica,Good
microcrystallinewax,Good
Microcystisaeruginosa,Good
milkprotein,Good
milkvetchroot,Good
milletseedextract,Average
mimosaoilorextract,Poor
mineraloil,Good
mint,Poor
mixedfruitextracts,Good
montanwax,Good
montmorillonite,Good
Morindacitrifolia,Good
Moringaoleiferaseedoil,Best
Morusalbarootextract,Good
Morusbombycisrootextract,Good
Morusnigrarootextract,Good
mucopolysaccharide,Best
Mucormieheiextract,Average
mugwortextract,Average
mulberryextract,Good
murumuruseedbutter,Good
myristicacid,Good
myristoylhexapeptide-16,Best
myristoylpentapeptide-17,Best
myristoyltripeptide-31,Best
myristylalcohol,Good
myristylmyristate,Good
myristylnicotinate,Best
myrrh,Poor
myrtleextract,Poor
Myrtuscommunisextract,Poor
N6-furfuryladenine,Average
N-acetyl-Ltyrosine,Average
NaPCA,Good
Narcissuspoeticuswax,Poor
Nardostachysjatamansi,Good
Nasturtiumofficinaleextract,Average
nattogum,Good
naturalmoisturizingfactor(NMF),Best
neemextract,Best
neemoil,Poor
neopentylglycoldicaprylate/dicaprate,Good
neopentylglycoldiheptanoate,Good
neroli,Poor
nerolioil,Poor
nettleextract,Average
niacin,Best
niacinamide,Best
nicotinamide,Best
nicotinicacid,Best
nonijuice,Good
nonoxynols,Good
nylon-12,Good
Nymphaeatetragona,Best
oakrootextract,Poor
oatbeta-glucan,Best
oatbranextract,Best
oatkernelextract,Best
oatmeal,Best
octinoxate,Best
octisalate,Best
octocrylene,Best
octyldodecanol,Good
octyldodecylmyristate,Good
octyldodecylneopentanoate,Good
octylmethoxycinnamate,Best
octylpalmitate,Good
octylsalicylate,Best
octylstearate,Good
o-cymen-5-ol,Good
Oenotherabiennisoil,Best
Oleaeuropaeafruitoil,Good
Oleaeuropaeaoilunsaponifiables,Best
oleanolicacid,Best
oleicacid,Good
oleth-10,Good
oleths,Good
oleylerucate,Good
olibanumextract,Poor
oliveoil/olivefruitoil,Good
Optuniaficus-indicastemextract,Best
orangeblossom,Poor
Orbignyamartiana,Good
Orbignyaoleifera,Good
orchid,Poor
oregano,Poor
Origanummajorana,Poor
Origanumvulgareflowerextract,Poor
